id,family,user_outcome,demand_evidence,document_artifact_reuse,external_requests,cost_model,latency,cacheability,risks,rest_status,remote_mcp_status,buyer_bridge_status,pricing_contract,status,reason,evidence,review_date
bounded_site_crawl,crawl,Traverse same-site pages with depth/page caps and return a bounded report.,https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,partial,2..N bounded,multiple fetches; margin not yet proven,asynchronous multi-fetch,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",planned,planned,planned,not offered until deterministic pre-work quote exists,planned,"Needs durable job state, per-domain fairness and crawl-purpose policy before sale.",https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,2026-11-09
broken_link_audit,crawl,Validate a bounded set of discovered internal links and redirect chains.,https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,partial,2..N bounded,multi-fetch,multi-fetch,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",planned,planned,planned,not offered until deterministic URL cap and quote exist,planned,Depends on the bounded crawl/fairness contract.,https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,2026-11-09
multi_url_report,batch,Run a selected safe projection over several URLs and return one report.,https://docs.firecrawl.dev/api-reference/endpoint/batch-scrape,per URL,1..5,projection-dependent,bounded multi-fetch,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",planned,planned,planned,not offered until every projection has a deterministic unit floor,planned,Status-only batch proves the pricing primitive; generalized projection costs still need floor tests.,https://docs.firecrawl.dev/api-reference/endpoint/batch-scrape,2026-11-09
change_subscriptions,monitoring,Schedule change checks and deliver webhooks or notifications.,https://developer.mozilla.org/en-US/docs/Web/API/Webhooks_API,partial,scheduled,recurring storage and egress,asynchronous,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",planned,planned,planned,not offered; recurring billing contract absent,planned,"Requires consented scheduling, delivery auth, retention and abuse controls.",https://developer.mozilla.org/en-US/docs/Web/API/Webhooks_API,2026-11-09
dns_rdap_lifecycle,network,Inspect DNS/RDAP ownership and certificate lifecycle evidence.,https://www.rfc-editor.org/rfc/rfc9083,none,external DNS and RDAP,provider and resolver cost unknown,multiple external services,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",blocked_external,blocked_external,blocked_external,blocked until provider capabilities and cost are proven,blocked_external,"Needs resolver/RDAP providers, caching policy and privacy review beyond the current HTTP guard.",https://www.rfc-editor.org/rfc/rfc9083,2026-11-09
pagespeed_lighthouse,performance,"Return browser lab performance, accessibility and SEO diagnostics.",https://developers.google.com/speed/docs/insights/v5/get-started,none,Google PageSpeed API,external quota and key,browser lab run,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",blocked_external,blocked_external,blocked_external,"blocked until credentials, quotas and margin are approved",blocked_external,Official API uses Lighthouse and recommends an API key for automated volume; external cost/quotas are not configured.,https://developers.google.com/speed/docs/insights/v5/get-started,2026-11-09
schema_full_validator,quality,"Validate JSON-LD, RDFa and Microdata including JavaScript-injected markup.",https://validator.schema.org/docs/validator.html,partial,external validator or browser,external/browser,external/browser,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",blocked_external,blocked_external,blocked_external,blocked until provider and privacy contract are approved,blocked_external,Current implementation intentionally covers static JSON-LD only; full validator semantics need external/browser execution.,https://validator.schema.org/docs/validator.html,2026-11-09
web_search_discovery,search,Find candidate pages from a query before URL analysis.,https://docs.firecrawl.dev/features/search,none,search provider,external search credits,provider round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",blocked_external,blocked_external,blocked_external,blocked until provider and margin are approved,blocked_external,"Requires a search provider, credentials, quotas and a distinct privacy/cost contract.",https://docs.firecrawl.dev/features/search,2026-11-09
headless_js_render,browser,Execute page JavaScript and inspect rendered content.,https://developers.cloudflare.com/browser-run/,none,headless browser,browser compute,browser navigation,artifact and projection cacheable for bounded TTL,"JavaScript side effects, browser exploits, SSRF and resource abuse",unsafe,unsafe,unsafe,not offered,unsafe,"Explicitly excluded: browser execution expands SSRF, resource and side-effect risk.",https://developers.cloudflare.com/browser-run/,2026-11-09
authenticated_forms,browser,"Log in, submit forms or interact with authenticated pages.",https://modelcontextprotocol.io/specification/2025-11-25/basic/security_best_practices,none,interactive browser,unbounded,interactive,artifact and projection cacheable for bounded TTL,"credential exposure, side effects, account abuse",unsafe,unsafe,unsafe,not offered,unsafe,Explicitly prohibited; would handle buyer credentials and create external side effects.,https://modelcontextprotocol.io/specification/2025-11-25/basic/security_best_practices,2026-11-09
captcha_paywall_bypass,browser,"Bypass CAPTCHA, access controls or paywalls.",https://modelcontextprotocol.io/specification/2025-11-25/basic/security_best_practices,none,unbounded,unbounded,unbounded,artifact and projection cacheable for bounded TTL,"access-control bypass, legal and abuse risk",unsafe,unsafe,unsafe,not offered,unsafe,Legally and operationally unacceptable; remains visible in denominator as rejected.,https://modelcontextprotocol.io/specification/2025-11-25/basic/security_best_practices,2026-11-09
